Instance  (n=10),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,CostAvg,Gapb,GapAvg
R_R_N50_Q38_T9,43120.8,0,-,2400,22461.9,-,7192.0,43120.8,,24885.8,-42.29,18002.0,17698.0,25333.61,-41.25
R_R_N50_Q38_T12,52335.4,0,-,2400,27160.6,-,7192.0,52335.4,,30786.2,-41.18,18022.0,17955.0,31783.75,-39.27
U_R_N50_Q8_T6,13709.2,0,-,2400,10477.8,14218.80,7197.0,13709.2,,10656.5,-22.27,18000.0,13748.0,10723.62,-21.78
U_R_N50_Q8_T9,21808.0,0,-,2400,16178.1,-,7197.0,21808.0,,16380.0,-24.89,16722.0,13572.0,16408.88,-24.76
U_R_N50_Q8_T12,33512.7,0,-,2400,22389.2,-,7189.0,33512.7,,22714.6,-32.22,18003.0,17353.0,22761.53,-32.08
U_R_N50_Q18_T6,7043.67,0,-,2400,4534.75,5620.24,7196.0,5620.24,,4736.95,-15.72,14893.0,12459.0,4787.55,-14.82
U_R_N50_Q18_T9,14865.4,0,-,2400,11237.5,-,7191.0,14865.4,,11926.2,-19.77,18002.0,10549.0,11992.59,-19.33
U_R_N50_Q18_T12,12781.6,0,-,2400,10417.3,-,7191.0,12781.6,,11013.3,-13.83,7211.0,4856.0,11113.0,-13.05
U_R_N50_Q38_T6,5202.06,0,-,2400,2259.37,2703.34,7195.0,2703.34,,2413.16,-10.73,18000.0,17672.0,2495.28,-7.7
U_R_N50_Q38_T9,7160.5,0,-,2400,3298.6,-,7194.0,7160.5,,3671.55,-48.72,18590.0,17861.0,3725.85,-47.97
U_R_N50_Q38_T12,10657.4,0,-,2400,5104.72,-,7193.0,10657.4,,5797.02,-45.61,18007.0,16352.0,5876.73,-44.86
R_RC_N50_Q8_T6,50984.1,0,-,2400,40202.5,42396.10,7199.0,42396.1,,40670.9,-4.07,18000.0,17859.0,40766.57,-3.84
R_RC_N50_Q8_T9,112998.0,0,-,2400,89475.1,94072.70,7195.0,94072.7,,90091.0,-4.23,18002.0,16854.0,90209.26,-4.11
R_RC_N50_Q8_T12,201268.0,0,-,2400,129804.0,186777.00,7189.0,186777.0,,131431.0,-29.63,18007.0,16965.0,131740.0,-29.47
R_RC_N50_Q18_T6,36566.2,0,-,2400,24173.7,30263.80,7194.0,30263.8,,25073.3,-17.15,18001.0,17820.0,25292.29,-16.43
R_RC_N50_Q18_T9,79805.4,0,-,2400,67172.6,-,7192.0,79805.4,,69267.8,-13.2,18002.0,1287.0,69718.28,-12.64
R_RC_N50_Q18_T12,102798.0,0,-,2400,81865.2,-,7193.0,102798.0,,84954.4,-17.36,18017.0,4024.0,85674.74,-16.66
R_RC_N50_Q38_T6,26320.5,0,-,2400,12590.5,-,7194.0,26320.5,,13329.0,-49.36,18000.0,17190.0,13574.12,-48.43
R_RC_N50_Q38_T9,55307.1,0,-,2400,18657.8,25312.40,7191.0,25312.4,,20562.0,-18.77,18002.0,17678.0,20964.33,-17.18
R_RC_N50_Q38_T12,51830.0,0,-,2400,21724.0,-,7192.0,51830.0,,25399.1,-51.0,18004.0,12572.0,26126.27,-49.59
U_RC_N50_Q8_T6,14865.1,0,-,2400,11296.5,12546.20,7197.0,12546.2,,11504.61,-8.30,18000.0,17436.0,11518.96,-8.19
U_RC_N50_Q8_T9,20473.1,0,-,2400,13166.3,19658.10,7193.0,19658.1,,13338.9,-32.15,18004.0,16149.0,13384.52,-31.91
U_RC_N50_Q8_T12,31809.1,0,-,2400,21075.7,30221.80,7193.0,30221.8,,21279.6,-29.59,7204.0,6756.0,21334.8,-29.41
U_RC_N50_Q18_T6,8856.05,0,-,2400,5571.0,-,7195.0,8856.05,,5808.6,-34.41,15242.0,13784.0,5867.35,-33.75
U_RC_N50_Q18_T9,14832.6,0,-,2400,9488.87,19145.80,7192.0,14832.6,,9992.99,-32.63,18021.0,6458.0,10074.83,-32.08
U_RC_N50_Q18_T12,11391.4,0,-,2400,9553.21,-,7189.0,11391.4,,9931.52,-12.82,18018.0,11528.0,9992.26,-12.28
U_RC_N50_Q38_T6,6571.21,0,-,2400,3558.33,4416.37,7196.0,4416.37,,3802.17,-13.91,11818.0,5663.0,3884.24,-12.05
U_RC_N50_Q38_T9,9889.73,0,-,2400,4783.31,-,7193.0,9889.73,,5404.61,-45.35,18003.0,14661.0,5575.79,-43.62
U_RC_N50_Q38_T12,10968.9,0,-,2400,6577.93,-,7191.0,10968.9,,7410.7,-32.44,18006.0,13876.0,7513.29,-31.5
Instance (n=100),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
R_C_N100_Q8_T6,141390.0,1.0,-,2400,108073.0,-,7194.0,141390.0,,111548.0,-21.11,18001.0,16808.0,111601.0,-21.07
R_C_N100_Q8_T9,258958.0,1.0,-,2400,169036.0,-,7195.0,258958.0,,178420.0,-31.1,18005.0,11112.0,178690.0,-31.0
R_C_N100_Q8_T12,348544.0,2.0,-,2400,222959.0,-,7196.0,348544.0,,234324.0,-32.77,18011.0,16527.0,234585.55,-32.7
R_C_N100_Q18_T6,93699.7,0.0,-,2400,58222.2,-,7191.0,93699.7,,62731.5,-33.05,18009.0,4708.0,62949.63,-32.82
R_C_N100_Q18_T9,117709.0,0.0,-,2400,84778.2,-,7195.0,117709.0,,89343.8,-24.1,18012.0,2512.0,89606.49,-23.87
R_C_N100_Q18_T12,149969.0,1.0,-,2400,110995.0,-,7195.0,149969.0,,124973.0,-16.67,18035.0,8618.0,125484.73,-16.33
R_C_N100_Q38_T6,50587.0,0.0,-,2400,20827.9,-,7192.0,50587.0,,23401.3,-53.74,18000.0,16017.0,23506.7,-53.53
R_C_N100_Q38_T9,113412.0,0.0,-,2400,63231.7,-,7192.0,113412.0,,67159.5,-40.78,18006.0,8747.0,67438.65,-40.54
R_C_N100_Q38_T12,137057.0,0.0,-,2400,49841.5,-,7195.0,137057.0,,73397.1,-46.45,18006.0,12651.0,74478.54,-45.66
U_C_N100_Q8_T6,27875.3,1.0,-,2400,21270.1,-,7192.0,27875.3,,21774.5,-21.89,7200.0,3357.0,21794.46,-21.81
U_C_N100_Q8_T9,50044.0,1.0,-,2400,34266.3,-,7196.0,50044.0,,35594.9,-28.87,18003.0,15502.0,35635.66,-28.79
U_C_N100_Q8_T12,54894.9,2.0,-,2400,35553.9,-,7195.0,54894.9,,36399.1,-33.69,18017.0,9771.0,36466.07,-33.57
U_C_N100_Q18_T6,13161.8,0.0,-,2400,8039.71,-,7193.0,13161.8,,8803.35,-33.11,18001.0,9905.0,8831.85,-32.9
U_C_N100_Q18_T9,23473.1,1.0,-,2400,16339.1,-,7194.0,23473.1,,17857.1,-23.93,18017.0,9790.0,17904.56,-23.72
U_C_N100_Q18_T12,35407.5,1.0,-,2400,23779.8,-,7194.0,35407.5,,26275.6,-25.79,18021.0,17261.0,26366.35,-25.53
U_C_N100_Q38_T6,13010.2,0.0,-,2400,7362.41,-,7192.0,13010.2,,8062.05,-38.03,18000.0,14062.0,8124.34,-37.55
U_C_N100_Q38_T9,14554.2,0.0,-,2400,6350.41,-,7192.0,14554.2,,7632.19,-47.56,19896.0,13030.0,7687.51,-47.18
U_C_N100_Q38_T12,22218.2,0.0,-,2400,9915.23,-,7193.0,22218.2,,13873.4,-37.56,18057.0,13368.0,13964.84,-37.15
R_R_N100_Q8_T6,139690.0,1.0,-,2400,108699.0,150078.00,7194.0,139690.0,,111852.0,-19.93,18001.0,14336.0,112068.73,-19.77
R_R_N100_Q8_T9,182648.0,1.0,-,2400,130462.0,187451.00,7192.0,182648.0,,135139.0,-26.01,7204.0,3123.0,135189.8,-25.98
R_R_N100_Q8_T12,286004.0,2.0,-,2400,162883.0,-,7196.0,286004.0,,175428.0,-38.66,18006.0,16272.0,176069.64,-38.44
R_R_N100_Q18_T6,100660.0,0.0,-,2400,60412.0,-,7192.0,100660.0,,68502.3,-31.95,7210.0,1286.0,68841.98,-31.61
R_R_N100_Q18_T9,121369.0,1.0,-,2400,79301.3,-,7192.0,121369.0,,89963.3,-25.88,18004.0,14856.0,90597.25,-25.35
R_R_N100_Q18_T12,166628.0,1.0,-,2400,118391.0,-,7193.0,166628.0,,138384.0,-16.95,18037.0,17956.0,139531.0,-16.26
R_R_N100_Q38_T6,62345.1,0.0,-,2400,28554.8,-,7193.0,62345.1,,34555.4,-44.57,18008.0,8193.0,34665.99,-44.4
R_R_N100_Q38_T9,130663.0,1.0,-,2400,36732.2,285172.00,7194.0,130663.0,,51043.8,-60.93,18011.0,12289.0,51368.5,-60.69
R_R_N100_Q38_T12,83495.9,0.0,-,2400,32620.9,-,7193.0,83495.9,,50745.5,-39.22,18010.0,17187.0,51725.9,-38.05
U_R_N100_Q8_T6,24079.9,1.0,-,2400,18481.2,-,7193.0,24079.9,,19060.1,-20.85,7202.0,3743.0,19050.07,-20.89
U_R_N100_Q8_T9,33563.5,1.0,-,2400,20165.8,-,7192.0,33563.5,,21150.2,-36.98,18005.0,13231.0,21196.38,-36.85
U_R_N100_Q8_T12,61970.9,2.0,-,2400,35747.8,-,7197.0,61970.9,,37883.9,-38.87,18007.0,14552.0,37953.76,-38.76
U_R_N100_Q18_T6,18042.5,0.0,-,2400,10587.8,-,7191.0,18042.5,,11934.2,-33.86,18006.0,15187.0,12022.14,-33.37
U_R_N100_Q18_T9,33142.8,1.0,-,2400,20134.2,-,7195.0,33142.8,,23820.6,-28.13,7243.0,5433.0,23976.52,-27.66
U_R_N100_Q18_T12,29412.3,1.0,-,2400,19330.2,-,7196.0,29412.3,,22282.1,-24.24,18054.0,14558.0,22472.48,-23.59
U_R_N100_Q38_T6,11643.9,0.0,-,2400,4860.5,-,7191.0,11643.9,,5770.77,-50.44,18021.0,7605.0,5827.42,-49.95
U_R_N100_Q38_T9,18641.9,0.0,-,2400,7874.87,-,7193.0,18641.9,,10465.5,-43.86,18015.0,15907.0,10602.24,-43.13
U_R_N100_Q38_T12,20587.4,0.0,-,2400,8725.2,-,7194.0,20587.4,,11444.0,-44.41,7262.0,3866.0,11496.84,-44.16
R_RC_N100_Q8_T6,115596.0,1.0,-,2400,90296.8,-,7195.0,115596.0,,93561.6,-19.06,18000.0,7578.0,93891.23,-18.78
R_RC_N100_Q8_T9,171176.0,1.0,-,2400,116568.0,170638.00,7197.0,170638.0,,120816.0,-29.2,18001.0,13385.0,120911.12,-29.14
R_RC_N100_Q8_T12,232299.0,2.0,-,2400,152972.0,215387.00,7198.0,215387.0,,162057.0,-24.76,18023.0,7808.0,162302.41,-24.65
R_RC_N100_Q18_T6,83117.2,0.0,-,2400,50908.1,-,7192.0,83117.2,,55788.9,-32.88,7206.0,4405.0,55915.77,-32.73
R_RC_N100_Q18_T9,137352.0,0.0,-,2400,93443.6,-,7191.0,137352.0,,105648.0,-23.08,19033.0,13483.0,106603.94,-22.39
R_RC_N100_Q18_T12,170774.0,1.0,-,2400,111287.0,-,7193.0,170774.0,,128807.0,-24.57,18021.0,15374.0,130222.62,-23.75
R_RC_N100_Q38_T6,47831.7,0.0,-,2400,18874.1,-,7192.0,47831.7,,21781.0,-54.46,16173.0,11622.0,21903.33,-54.21
R_RC_N100_Q38_T9,96818.1,1.0,-,2400,24790.0,166749.00,7194.0,96818.1,,34326.0,-64.55,19682.0,14293.0,34768.29,-64.09
R_RC_N100_Q38_T12,118733.0,0.0,-,2400,41977.3,-,7194.0,118733.0,,66319.4,-44.14,18016.0,1769.0,67228.64,-43.38
U_RC_N100_Q8_T6,27094.8,1.0,-,2400,18362.6,-,7193.0,27094.8,,19306.9,-28.74,18002.0,14818.0,19306.9,-28.74
U_RC_N100_Q8_T9,47738.9,1.0,-,2400,34366.5,-,7196.0,47738.9,,35707.7,-25.2,18003.0,11101.0,35772.84,-25.07
U_RC_N100_Q8_T12,54547.8,2.0,-,2400,34542.8,-,7196.0,54547.8,,35769.6,-34.43,18012.0,12802.0,35818.96,-34.33
U_RC_N100_Q18_T6,19644.6,0.0,-,2400,11673.9,-,7193.0,19644.6,,13363.5,-31.97,18006.0,9408.0,13415.45,-31.71
U_RC_N100_Q18_T9,22151.2,0.0,-,2400,15039.1,-,7197.0,22151.2,,17604.6,-20.53,18007.0,11776.0,17697.78,-20.1
U_RC_N100_Q18_T12,41255.7,1.0,-,2400,29504.9,-,7194.0,41255.7,,34085.4,-17.38,7214.0,6953.0,34283.86,-16.9
U_RC_N100_Q38_T6,29838.0,1.0,-,2400,5701.85,35035.90,7194.0,29838.0,,6583.73,-77.94,18000.0,15061.0,6622.69,-77.8
U_RC_N100_Q38_T9,17568.8,0.0,-,2400,7784.86,-,7193.0,17568.8,,9692.0,-44.83,21537.0,12582.0,9780.26,-44.33
U_RC_N100_Q38_T12,25214.4,0.0,-,2400,11719.4,-,7195.0,25214.4,,16333.2,-35.22,18024.0,16916.0,16432.51,-34.83
Instance (n=200),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
R_C_N200_Q8_T6,272759.0,7,-,2400,188649.0,-,7214,272759.0,,216914.0,-20.47,7207.0,4094.0,217269.5,-20.34
R_C_N200_Q8_T9,417595.0,11,-,2400,252938.0,-,7218,417595.0,,304742.0,-27.02,18060.0,569.0,305384.22,-26.87
R_C_N200_Q8_T12,575146.0,18,-,2400,296848.0,-,7229,575146.0,,352654.0,-38.68,18059.0,10203.0,353448.96,-38.55
R_C_N200_Q18_T6,148659.0,3,-,2400,81160.8,-,7210,148659.0,,101553.0,-31.69,18017.0,15121.0,101558.67,-31.68
R_C_N200_Q18_T9,178887.0,4,-,2400,120529.0,-,7220,178887.0,,146890.0,-17.89,18006.0,2383.0,147963.23,-17.29
R_C_N200_Q18_T12,220543.0,8,-,2400,112696.0,-,7225,220543.0,,168208.0,-23.73,18061.0,11480.0,170425.74,-22.72
R_C_N200_Q38_T6,108826.0,1,-,2400,26556.6,-,7212,108826.0,,49322.9,-54.68,18057.0,6552.0,49640.64,-54.39
R_C_N200_Q38_T9,165433.0,2,-,2400,26911.3,-,7216,165433.0,,85432.9,-48.36,18004.0,9612.0,86832.88,-47.51
R_C_N200_Q38_T12,192580.0,3,-,2400,53081.6,-,7217,192580.0,,127943.0,-33.56,18031.0,9632.0,131031.42,-31.96
U_C_N200_Q8_T6,56418.8,7,-,2400,41554.3,-,7209,56418.8,,7.60004,-99.99,7209.0,4468.0,44514.28,-21.1
U_C_N200_Q8_T9,82638.7,12,-,2400,52455.7,-,7222,82638.7,,60049.6,-27.33,18009.0,14527.0,60135.64,-27.23
U_C_N200_Q8_T12,137197.0,17,-,2400,75059.2,-,7232,137197.0,,90974.3,-33.69,18072.0,16486.0,91173.43,-33.55
U_C_N200_Q18_T6,33339.8,2,-,2400,18954.6,-,7209,33339.8,,23324.2,-30.04,18004.0,10127.0,23402.76,-29.81
U_C_N200_Q18_T9,35706.5,4,-,2400,19328.3,-,7220,35706.5,,27613.6,-22.67,18012.0,11460.0,27704.92,-22.41
U_C_N200_Q18_T12,38809.1,7,-,2400,21532.7,-,7230,38809.1,,32570.2,-16.08,18221.0,1332.0,32675.8,-15.8
U_C_N200_Q38_T6,24819.3,1,-,2400,7281.76,-,7208,24819.3,,11562.9,-53.41,18056.0,16297.0,11685.2,-52.92
U_C_N200_Q38_T9,37574.8,2,-,2400,12931.7,-,7216,37574.8,,20633.1,-45.09,18028.0,12388.0,20763.63,-44.74
U_C_N200_Q38_T12,46372.4,3,-,2400,12584.7,-,7226,46372.4,,22931.5,-50.55,7271.0,6516.0,23058.33,-50.28
R_R_N200_Q8_T6,220954.0,7,-,2400,161239.0,-,7211,220954.0,,174300.09,-21.11,18018.0,13417.0,174305.87,-21.11
R_R_N200_Q8_T9,331363.0,13,-,2400,221085.0,-,7214,331363.0,,243719.0,-26.45,7218.0,4273.0,244181.44,-26.31
R_R_N200_Q8_T12,591800.0,18,-,2400,355401.0,-,7229,591800.0,,417924.0,-29.38,18021.0,1774.0,419239.75,-29.16
R_R_N200_Q18_T6,190499.0,3,-,2400,85232.6,-,7209,190499.0,,119451.0,-37.3,7215.0,3272.0,119920.55,-37.05
R_R_N200_Q18_T9,236283.0,4,-,2400,121943.0,-,7226,236283.0,,194898.0,-17.52,18031.0,12995.0,194898.0,-17.52
R_R_N200_Q18_T12,212598.0,11,-,2400,112595.0,-,7221,212598.0,,178226.0,-16.17,18090.0,16697.0,181981.46,-14.4
R_R_N200_Q38_T6,108353.0,1,-,2400,28436.9,-,7207,108353.0,,53613.5,-50.52,18010.0,13908.0,54014.46,-50.15
R_R_N200_Q38_T9,154284.0,2,-,2400,40962.3,-,7215,154284.0,,84252.8,-45.39,19168.0,2699.0,86044.55,-44.23
R_R_N200_Q38_T12,168727.0,3,-,2400,1.0,-,7221,168727.0,,96601.1,-42.75,18150.0,14626.0,99994.45,-40.74
U_R_N200_Q8_T6,53322.9,8,-,2400,38237.5,-,7209,41913.38,,41827.23,-0.21,18003.0,17132.0,41827.23,-0.21
U_R_N200_Q8_T9,101567.0,11,-,2400,59031.8,-,7222,101567.0,,70079.7,-31.0,7210.0,3987.0,70214.43,-30.87
U_R_N200_Q8_T12,117193.0,18,-,2400,59462.4,-,7231,117193.0,,73013.0,-37.7,18033.0,14110.0,73243.03,-37.5
U_R_N200_Q18_T6,33304.2,2,-,2400,16994.8,-,7209,33304.2,,22522.9,-32.37,18005.0,14348.0,22626.05,-32.06
U_R_N200_Q18_T9,52886.6,5,-,2400,25762.3,-,7217,52886.6,,37709.2,-28.7,18054.0,16456.0,37914.62,-28.31
U_R_N200_Q18_T12,87014.1,7,-,2400,44956.9,-,7226,87014.1,,69765.7,-19.82,18100.0,9576.0,70422.37,-19.07
U_R_N200_Q38_T6,24142.5,1,-,2400,6918.92,-,7206,24142.5,,11795.6,-51.14,19106.0,10982.0,11916.86,-50.64
U_R_N200_Q38_T9,34372.8,2,-,2400,8755.6,-,7217,34372.8,,18174.2,-47.13,18129.0,3066.0,18284.57,-46.81
U_R_N200_Q38_T12,40483.2,3,-,2400,11656.0,-,7218,40483.2,,24533.0,-39.4,18141.0,5801.0,24731.05,-38.91
R_RC_N200_Q8_T6,239608.0,7,-,2400,173200.0,-,7208,239608.0,,188999.5,-21.12,7206.0,1136.0,189477.0,-20.92
R_RC_N200_Q8_T9,274577.0,12,-,2400,156459.0,-,7221,274577.0,,184911.0,-32.66,18011.0,4407.0,186229.67,-32.18
R_RC_N200_Q8_T12,659002.0,18,-,2400,375560.0,-,7230,659002.0,,448025.0,-32.01,18048.0,2888.0,449625.83,-31.77
R_RC_N200_Q18_T6,161923.0,4,-,2400,67216.7,-,7211,161923.0,,98113.0,-39.41,18050.0,6006.0,98678.61,-39.06
R_RC_N200_Q18_T9,263219.0,8,-,2400,145809.0,-,7216,263219.0,,210558.0,-20.01,18048.0,3634.0,212632.69,-19.22
R_RC_N200_Q18_T12,251454.0,9,-,2400,94148.2,-,7225,251454.0,,214232.0,-14.8,18102.0,13771.0,217540.33,-13.49
R_RC_N200_Q38_T6,108641.0,1,-,2400,30227.2,-,7208,108641.0,,53161.3,-51.07,18001.0,16159.0,54016.08,-50.28
R_RC_N200_Q38_T9,158884.0,2,-,2400,31767.4,-,7212,158884.0,,84633.1,-46.73,18043.0,13545.0,86140.02,-45.78
R_RC_N200_Q38_T12,188558.0,2,-,2400,1.0,-,7224,188558.0,,87339.2,-53.68,18062.0,13730.0,88949.84,-52.83
U_RC_N200_Q8_T6,67897.6,7,-,2400,50067.6,-,7211,67897.6,,54430.9,-19.83,7201.0,5528.0,54532.75,-19.68
U_RC_N200_Q8_T9,81475.3,12,-,2400,52485.0,-,7218,81475.3,,59640.1,-26.8,18012.0,15733.0,59640.1,-26.8
U_RC_N200_Q8_T12,117634.0,18,-,2400,61796.0,-,7231,117634.0,,75980.4,-35.41,18041.0,17003.0,76128.0,-35.28
U_RC_N200_Q18_T6,29050.6,2,-,2400,14342.2,-,7210,29050.6,,18790.4,-35.32,18080.0,8477.0,18861.92,-35.07
U_RC_N200_Q18_T9,38011.9,5,-,2400,19778.4,-,7219,38011.9,,30032.1,-20.99,7220.0,5615.0,30117.24,-20.77
U_RC_N200_Q18_T12,40045.0,18,-,2400,20321.4,-,7228,40045.0,,33976.6,-15.15,7299.0,6789.0,34378.59,-14.15
U_RC_N200_Q38_T6,26596.3,1,-,2400,7878.25,-,7208,26596.3,,14671.5,-44.84,18006.0,11126.0,14749.46,-44.54
U_RC_N200_Q38_T9,36289.1,2,-,2400,10530.1,-,7217,36289.1,,19511.4,-46.23,7219.0,5167.0,19672.84,-45.79
U_RC_N200_Q38_T12,48586.9,3,-,2400,13074.4,-,7230,48586.9,,27461.4,-43.48,18139.0,17210.0,27645.99,-43.1